,Forecast-Based,Simple Z-Score
Annualized Return,0.15437050092906618,-0.05382306554058025
Annualized Volatility,0.45254042886925455,0.5234077570801335
Sharpe Ratio,0.3411198007541245,-0.10283199821270504
Max Drawdown,-0.5802592752660087,-0.884509719961343
Max DD Duration (days),301.0,466.0
